Epoch 0 Metrics: {'loss': 0.6957, 'grad_norm': 0.0, 'learning_rate': 0.0004948849104859335, 'epoch': 0.02557544757033248}
Epoch 0 Metrics: {'loss': 0.6913, 'grad_norm': 0.0, 'learning_rate': 0.000489769820971867, 'epoch': 0.05115089514066496}
Epoch 0 Metrics: {'loss': 0.6886, 'grad_norm': 0.0, 'learning_rate': 0.0004846547314578005, 'epoch': 0.07672634271099744}
Epoch 0 Metrics: {'loss': 0.6529, 'grad_norm': 0.0, 'learning_rate': 0.00047953964194373403, 'epoch': 0.10230179028132992}
Epoch 0 Metrics: {'loss': 0.5781, 'grad_norm': 0.0, 'learning_rate': 0.00047442455242966753, 'epoch': 0.1278772378516624}
Epoch 0 Metrics: {'loss': 0.4957, 'grad_norm': 0.0, 'learning_rate': 0.00046930946291560104, 'epoch': 0.1534526854219949}
Epoch 0 Metrics: {'loss': 0.4651, 'grad_norm': 0.0, 'learning_rate': 0.00046419437340153454, 'epoch': 0.17902813299232737}
Epoch 0 Metrics: {'loss': 0.4423, 'grad_norm': 0.0, 'learning_rate': 0.00045907928388746804, 'epoch': 0.20460358056265984}
Epoch 0 Metrics: {'loss': 0.3761, 'grad_norm': 0.0, 'learning_rate': 0.00045396419437340155, 'epoch': 0.23017902813299232}
Epoch 0 Metrics: {'loss': 0.4109, 'grad_norm': 0.0, 'learning_rate': 0.00044884910485933505, 'epoch': 0.2557544757033248}
Epoch 0 Metrics: {'loss': 0.4277, 'grad_norm': 0.0, 'learning_rate': 0.0004437340153452685, 'epoch': 0.2813299232736573}
Epoch 0 Metrics: {'loss': 0.4313, 'grad_norm': 0.0, 'learning_rate': 0.00043861892583120206, 'epoch': 0.3069053708439898}
Epoch 0 Metrics: {'loss': 0.3913, 'grad_norm': 0.0, 'learning_rate': 0.00043350383631713557, 'epoch': 0.33248081841432225}
Epoch 0 Metrics: {'loss': 0.3533, 'grad_norm': 0.0, 'learning_rate': 0.00042838874680306907, 'epoch': 0.35805626598465473}
Epoch 0 Metrics: {'loss': 0.4075, 'grad_norm': 0.0, 'learning_rate': 0.0004232736572890026, 'epoch': 0.3836317135549872}
Epoch 0 Metrics: {'loss': 0.369, 'grad_norm': 0.0, 'learning_rate': 0.000418158567774936, 'epoch': 0.4092071611253197}
Epoch 0 Metrics: {'loss': 0.3836, 'grad_norm': 0.0, 'learning_rate': 0.0004130434782608696, 'epoch': 0.43478260869565216}
Epoch 0 Metrics: {'loss': 0.3721, 'grad_norm': 0.0, 'learning_rate': 0.0004079283887468031, 'epoch': 0.46035805626598464}
Epoch 0 Metrics: {'loss': 0.3695, 'grad_norm': 0.0, 'learning_rate': 0.0004028132992327366, 'epoch': 0.4859335038363171}
Epoch 0 Metrics: {'loss': 0.3806, 'grad_norm': 0.0, 'learning_rate': 0.0003976982097186701, 'epoch': 0.5115089514066496}
Epoch 0 Metrics: {'loss': 0.3386, 'grad_norm': 0.0, 'learning_rate': 0.00039258312020460355, 'epoch': 0.5370843989769821}
Epoch 0 Metrics: {'loss': 0.3347, 'grad_norm': 0.0, 'learning_rate': 0.0003874680306905371, 'epoch': 0.5626598465473146}
Epoch 0 Metrics: {'loss': 0.3419, 'grad_norm': 0.0, 'learning_rate': 0.00038235294117647055, 'epoch': 0.5882352941176471}
Epoch 0 Metrics: {'loss': 0.3749, 'grad_norm': 0.0, 'learning_rate': 0.0003772378516624041, 'epoch': 0.6138107416879796}
Epoch 0 Metrics: {'loss': 0.3043, 'grad_norm': 0.0, 'learning_rate': 0.0003721227621483376, 'epoch': 0.639386189258312}
Epoch 0 Metrics: {'loss': 0.3871, 'grad_norm': 0.0, 'learning_rate': 0.0003670076726342711, 'epoch': 0.6649616368286445}
Epoch 0 Metrics: {'loss': 0.3468, 'grad_norm': 0.0, 'learning_rate': 0.0003618925831202046, 'epoch': 0.690537084398977}
Epoch 0 Metrics: {'loss': 0.3441, 'grad_norm': 0.0, 'learning_rate': 0.0003567774936061381, 'epoch': 0.7161125319693095}
Epoch 0 Metrics: {'loss': 0.3754, 'grad_norm': 0.0, 'learning_rate': 0.00035166240409207163, 'epoch': 0.7416879795396419}
Epoch 0 Metrics: {'loss': 0.3768, 'grad_norm': 0.0, 'learning_rate': 0.00034654731457800514, 'epoch': 0.7672634271099744}
Epoch 0 Metrics: {'loss': 0.3557, 'grad_norm': 0.0, 'learning_rate': 0.00034143222506393864, 'epoch': 0.7928388746803069}
Epoch 0 Metrics: {'loss': 0.3452, 'grad_norm': 0.0, 'learning_rate': 0.00033631713554987215, 'epoch': 0.8184143222506394}
Epoch 0 Metrics: {'loss': 0.3102, 'grad_norm': 0.0, 'learning_rate': 0.0003312020460358056, 'epoch': 0.8439897698209718}
Epoch 0 Metrics: {'loss': 0.3323, 'grad_norm': 0.0, 'learning_rate': 0.00032608695652173916, 'epoch': 0.8695652173913043}
Epoch 0 Metrics: {'loss': 0.3404, 'grad_norm': 0.0, 'learning_rate': 0.0003209718670076726, 'epoch': 0.8951406649616368}
Epoch 0 Metrics: {'loss': 0.3452, 'grad_norm': 0.0, 'learning_rate': 0.00031585677749360616, 'epoch': 0.9207161125319693}
Epoch 0 Metrics: {'loss': 0.2981, 'grad_norm': 0.0, 'learning_rate': 0.00031074168797953967, 'epoch': 0.9462915601023018}
Epoch 0 Metrics: {'loss': 0.3127, 'grad_norm': 0.0, 'learning_rate': 0.0003056265984654731, 'epoch': 0.9718670076726342}
Epoch 0 Metrics: {'loss': 0.3237, 'grad_norm': 0.0, 'learning_rate': 0.0003005115089514067, 'epoch': 0.9974424552429667}
Epoch 1 Metrics: {'eval_loss': 0.3032509386539459, 'eval_accuracy': 0.87164, 'eval_precision': 0.8719676672107683, 'eval_recall': 0.87164, 'eval_f1': 0.8716117256152407, 'eval_runtime': 196.5172, 'eval_samples_per_second': 127.215, 'eval_steps_per_second': 0.997, 'epoch': 1.0}
Epoch 1 Metrics: {'loss': 0.295, 'grad_norm': 0.0, 'learning_rate': 0.00029539641943734013, 'epoch': 1.0230179028132993}
Epoch 1 Metrics: {'loss': 0.2926, 'grad_norm': 0.0, 'learning_rate': 0.0002902813299232737, 'epoch': 1.0485933503836318}
Epoch 1 Metrics: {'loss': 0.3365, 'grad_norm': 0.0, 'learning_rate': 0.0002851662404092072, 'epoch': 1.0741687979539642}
Epoch 1 Metrics: {'loss': 0.3163, 'grad_norm': 0.0, 'learning_rate': 0.00028005115089514064, 'epoch': 1.0997442455242967}
Epoch 1 Metrics: {'loss': 0.3016, 'grad_norm': 0.0, 'learning_rate': 0.0002749360613810742, 'epoch': 1.1253196930946292}
Epoch 1 Metrics: {'loss': 0.2565, 'grad_norm': 0.0, 'learning_rate': 0.00026982097186700765, 'epoch': 1.1508951406649617}
Epoch 1 Metrics: {'loss': 0.2686, 'grad_norm': 0.0, 'learning_rate': 0.0002647058823529412, 'epoch': 1.1764705882352942}
Epoch 1 Metrics: {'loss': 0.3336, 'grad_norm': 0.0, 'learning_rate': 0.0002595907928388747, 'epoch': 1.2020460358056266}
Epoch 1 Metrics: {'loss': 0.2821, 'grad_norm': 0.0, 'learning_rate': 0.00025447570332480816, 'epoch': 1.227621483375959}
Epoch 1 Metrics: {'loss': 0.2958, 'grad_norm': 0.0, 'learning_rate': 0.00024936061381074167, 'epoch': 1.2531969309462916}
Epoch 1 Metrics: {'loss': 0.2767, 'grad_norm': 0.0, 'learning_rate': 0.0002442455242966752, 'epoch': 1.278772378516624}
Epoch 1 Metrics: {'loss': 0.27, 'grad_norm': 0.0, 'learning_rate': 0.0002391304347826087, 'epoch': 1.3043478260869565}
Epoch 1 Metrics: {'loss': 0.2545, 'grad_norm': 0.0, 'learning_rate': 0.0002340153452685422, 'epoch': 1.329923273657289}
Epoch 1 Metrics: {'loss': 0.2885, 'grad_norm': 0.0, 'learning_rate': 0.0002289002557544757, 'epoch': 1.3554987212276215}
Epoch 1 Metrics: {'loss': 0.2614, 'grad_norm': 0.0, 'learning_rate': 0.00022378516624040921, 'epoch': 1.381074168797954}
Epoch 1 Metrics: {'loss': 0.2726, 'grad_norm': 0.0, 'learning_rate': 0.0002186700767263427, 'epoch': 1.4066496163682864}
Epoch 1 Metrics: {'loss': 0.2309, 'grad_norm': 0.0, 'learning_rate': 0.00021355498721227622, 'epoch': 1.432225063938619}
Epoch 1 Metrics: {'loss': 0.2451, 'grad_norm': 0.0, 'learning_rate': 0.00020843989769820973, 'epoch': 1.4578005115089514}
Epoch 1 Metrics: {'loss': 0.3219, 'grad_norm': 0.0, 'learning_rate': 0.00020332480818414323, 'epoch': 1.4833759590792839}
Epoch 1 Metrics: {'loss': 0.2886, 'grad_norm': 0.0, 'learning_rate': 0.00019820971867007674, 'epoch': 1.5089514066496164}
Epoch 1 Metrics: {'loss': 0.2754, 'grad_norm': 0.0, 'learning_rate': 0.0001930946291560102, 'epoch': 1.5345268542199488}
Epoch 1 Metrics: {'loss': 0.2544, 'grad_norm': 0.0, 'learning_rate': 0.00018797953964194372, 'epoch': 1.5601023017902813}
Epoch 1 Metrics: {'loss': 0.2357, 'grad_norm': 0.0, 'learning_rate': 0.00018286445012787725, 'epoch': 1.5856777493606138}
Epoch 1 Metrics: {'loss': 0.292, 'grad_norm': 0.0, 'learning_rate': 0.00017774936061381075, 'epoch': 1.6112531969309463}
Epoch 1 Metrics: {'loss': 0.2689, 'grad_norm': 0.0, 'learning_rate': 0.00017263427109974426, 'epoch': 1.6368286445012787}
Epoch 1 Metrics: {'loss': 0.2765, 'grad_norm': 0.0, 'learning_rate': 0.00016751918158567776, 'epoch': 1.6624040920716112}
Epoch 1 Metrics: {'loss': 0.3073, 'grad_norm': 0.0, 'learning_rate': 0.00016240409207161124, 'epoch': 1.6879795396419437}
Epoch 1 Metrics: {'loss': 0.2524, 'grad_norm': 0.0, 'learning_rate': 0.00015728900255754474, 'epoch': 1.7135549872122762}
Epoch 1 Metrics: {'loss': 0.2892, 'grad_norm': 0.0, 'learning_rate': 0.00015217391304347827, 'epoch': 1.7391304347826086}
Epoch 1 Metrics: {'loss': 0.2647, 'grad_norm': 0.0, 'learning_rate': 0.00014705882352941178, 'epoch': 1.7647058823529411}
Epoch 1 Metrics: {'loss': 0.286, 'grad_norm': 0.0, 'learning_rate': 0.00014194373401534528, 'epoch': 1.7902813299232738}
Epoch 1 Metrics: {'loss': 0.2725, 'grad_norm': 0.0, 'learning_rate': 0.00013682864450127876, 'epoch': 1.815856777493606}
Epoch 1 Metrics: {'loss': 0.271, 'grad_norm': 0.0, 'learning_rate': 0.00013171355498721226, 'epoch': 1.8414322250639388}
Epoch 1 Metrics: {'loss': 0.2754, 'grad_norm': 0.0, 'learning_rate': 0.0001265984654731458, 'epoch': 1.867007672634271}
Epoch 1 Metrics: {'loss': 0.285, 'grad_norm': 0.0, 'learning_rate': 0.00012148337595907929, 'epoch': 1.8925831202046037}
Epoch 1 Metrics: {'loss': 0.2751, 'grad_norm': 0.0, 'learning_rate': 0.00011636828644501279, 'epoch': 1.918158567774936}
Epoch 1 Metrics: {'loss': 0.2587, 'grad_norm': 0.0, 'learning_rate': 0.0001112531969309463, 'epoch': 1.9437340153452687}
Epoch 1 Metrics: {'loss': 0.2404, 'grad_norm': 0.0, 'learning_rate': 0.00010613810741687979, 'epoch': 1.969309462915601}
Epoch 1 Metrics: {'loss': 0.2902, 'grad_norm': 0.0, 'learning_rate': 0.0001010230179028133, 'epoch': 1.9948849104859336}
Epoch 2 Metrics: {'eval_loss': 0.2822560667991638, 'eval_accuracy': 0.88128, 'eval_precision': 0.8831531616287509, 'eval_recall': 0.8812800000000001, 'eval_f1': 0.8811347226678602, 'eval_runtime': 196.7527, 'eval_samples_per_second': 127.063, 'eval_steps_per_second': 0.996, 'epoch': 2.0}
Epoch 2 Metrics: {'loss': 0.2263, 'grad_norm': 0.0, 'learning_rate': 9.590792838874681e-05, 'epoch': 2.020460358056266}
Epoch 2 Metrics: {'loss': 0.2166, 'grad_norm': 0.0, 'learning_rate': 9.07928388746803e-05, 'epoch': 2.0460358056265986}
Epoch 2 Metrics: {'loss': 0.2087, 'grad_norm': 0.0, 'learning_rate': 8.567774936061382e-05, 'epoch': 2.071611253196931}
Epoch 2 Metrics: {'loss': 0.2258, 'grad_norm': 0.0, 'learning_rate': 8.056265984654732e-05, 'epoch': 2.0971867007672635}
Epoch 2 Metrics: {'loss': 0.2343, 'grad_norm': 0.0, 'learning_rate': 7.544757033248081e-05, 'epoch': 2.122762148337596}
Epoch 2 Metrics: {'loss': 0.2518, 'grad_norm': 0.0, 'learning_rate': 7.033248081841433e-05, 'epoch': 2.1483375959079285}
Epoch 2 Metrics: {'loss': 0.2383, 'grad_norm': 0.0, 'learning_rate': 6.521739130434782e-05, 'epoch': 2.1739130434782608}
Epoch 2 Metrics: {'loss': 0.2573, 'grad_norm': 0.0, 'learning_rate': 6.010230179028133e-05, 'epoch': 2.1994884910485935}
Epoch 2 Metrics: {'loss': 0.1982, 'grad_norm': 0.0, 'learning_rate': 5.4987212276214836e-05, 'epoch': 2.2250639386189257}
Epoch 2 Metrics: {'loss': 0.2456, 'grad_norm': 0.0, 'learning_rate': 4.987212276214833e-05, 'epoch': 2.2506393861892584}
Epoch 2 Metrics: {'loss': 0.2597, 'grad_norm': 0.0, 'learning_rate': 4.4757033248081844e-05, 'epoch': 2.2762148337595907}
Epoch 2 Metrics: {'loss': 0.2824, 'grad_norm': 0.0, 'learning_rate': 3.964194373401535e-05, 'epoch': 2.3017902813299234}
Epoch 2 Metrics: {'loss': 0.266, 'grad_norm': 0.0, 'learning_rate': 3.4526854219948846e-05, 'epoch': 2.3273657289002556}
Epoch 2 Metrics: {'loss': 0.2205, 'grad_norm': 0.0, 'learning_rate': 2.9411764705882354e-05, 'epoch': 2.3529411764705883}
Epoch 2 Metrics: {'loss': 0.2241, 'grad_norm': 0.0, 'learning_rate': 2.4296675191815855e-05, 'epoch': 2.3785166240409206}
Epoch 2 Metrics: {'loss': 0.2135, 'grad_norm': 0.0, 'learning_rate': 1.9181585677749362e-05, 'epoch': 2.4040920716112533}
Epoch 2 Metrics: {'loss': 0.2047, 'grad_norm': 0.0, 'learning_rate': 1.4066496163682863e-05, 'epoch': 2.4296675191815855}
Epoch 2 Metrics: {'loss': 0.2173, 'grad_norm': 0.0, 'learning_rate': 8.951406649616368e-06, 'epoch': 2.455242966751918}
Epoch 2 Metrics: {'loss': 0.2703, 'grad_norm': 0.0, 'learning_rate': 3.836317135549873e-06, 'epoch': 2.4808184143222505}
Epoch 2 Metrics: {'loss': 0.2402, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.506393861892583}
Epoch 2 Metrics: {'loss': 0.2419, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.531969309462916}
Epoch 2 Metrics: {'loss': 0.2345, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.557544757033248}
Epoch 2 Metrics: {'loss': 0.2427, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.5831202046035804}
Epoch 2 Metrics: {'loss': 0.2398, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.608695652173913}
Epoch 2 Metrics: {'loss': 0.2968, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.634271099744246}
Epoch 2 Metrics: {'loss': 0.2539, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.659846547314578}
Epoch 2 Metrics: {'loss': 0.2435, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.6854219948849103}
Epoch 2 Metrics: {'loss': 0.233, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.710997442455243}
Epoch 2 Metrics: {'loss': 0.1996, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.7365728900255757}
Epoch 2 Metrics: {'loss': 0.2026, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.762148337595908}
Epoch 2 Metrics: {'loss': 0.2664, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.78772378516624}
Epoch 2 Metrics: {'loss': 0.2468, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.813299232736573}
Epoch 2 Metrics: {'loss': 0.2496, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.8388746803069056}
Epoch 2 Metrics: {'loss': 0.2164, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.864450127877238}
Epoch 2 Metrics: {'loss': 0.2642, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.89002557544757}
Epoch 2 Metrics: {'loss': 0.2266, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.915601023017903}
Epoch 2 Metrics: {'loss': 0.262, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.9411764705882355}
Epoch 2 Metrics: {'loss': 0.2406, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.9667519181585678}
Epoch 2 Metrics: {'loss': 0.2562, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.9923273657289}
Epoch 3 Metrics: {'eval_loss': 0.2741219997406006, 'eval_accuracy': 0.88588, 'eval_precision': 0.8859817979130252, 'eval_recall': 0.88588, 'eval_f1': 0.8858724750701201, 'eval_runtime': 196.2951, 'eval_samples_per_second': 127.359, 'eval_steps_per_second': 0.998, 'epoch': 3.0}
Epoch 3 Metrics: {'loss': 0.2164, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 3.0179028132992327}
Epoch 3 Metrics: {'loss': 0.2713, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 3.0434782608695654}
Epoch 3 Metrics: {'loss': 0.2291, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 3.0690537084398977}
Epoch 3 Metrics: {'loss': 0.2367, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 3.0946291560102304}
Epoch 3 Metrics: {'loss': 0.2508, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 3.1202046035805626}
Epoch 3 Metrics: {'loss': 0.2133, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 3.1457800511508953}
Epoch 3 Metrics: {'loss': 0.1904, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 3.1713554987212276}
Epoch 3 Metrics: {'loss': 0.2462, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 3.1969309462915603}
Epoch 3 Metrics: {'loss': 0.2612, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 3.2225063938618925}
Epoch 3 Metrics: {'loss': 0.2419, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 3.2480818414322252}
Epoch 3 Metrics: {'loss': 0.2362, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 3.2736572890025575}
