Epoch 0 Metrics: {'loss': 1.2205, 'grad_norm': 0.0, 'learning_rate': 0.0068806479113384484, 'epoch': 0.02557544757033248}
Epoch 0 Metrics: {'loss': 0.664, 'grad_norm': 0.0, 'learning_rate': 0.006761295822676897, 'epoch': 0.05115089514066496}
Epoch 0 Metrics: {'loss': 0.5133, 'grad_norm': 0.0, 'learning_rate': 0.006641943734015346, 'epoch': 0.07672634271099744}
Epoch 0 Metrics: {'loss': 0.3891, 'grad_norm': 0.0, 'learning_rate': 0.006522591645353794, 'epoch': 0.10230179028132992}
Epoch 0 Metrics: {'loss': 0.3331, 'grad_norm': 0.0, 'learning_rate': 0.0064032395566922425, 'epoch': 0.1278772378516624}
Epoch 0 Metrics: {'loss': 0.3111, 'grad_norm': 0.0, 'learning_rate': 0.006283887468030691, 'epoch': 0.1534526854219949}
Epoch 0 Metrics: {'loss': 0.3238, 'grad_norm': 0.0, 'learning_rate': 0.006164535379369139, 'epoch': 0.17902813299232737}
Epoch 0 Metrics: {'loss': 0.3162, 'grad_norm': 0.0, 'learning_rate': 0.006045183290707587, 'epoch': 0.20460358056265984}
Epoch 0 Metrics: {'loss': 0.2535, 'grad_norm': 0.0, 'learning_rate': 0.0059258312020460365, 'epoch': 0.23017902813299232}
Epoch 0 Metrics: {'loss': 0.2595, 'grad_norm': 0.0, 'learning_rate': 0.005806479113384485, 'epoch': 0.2557544757033248}
Epoch 0 Metrics: {'loss': 0.2674, 'grad_norm': 0.0, 'learning_rate': 0.005687127024722933, 'epoch': 0.2813299232736573}
Epoch 0 Metrics: {'loss': 0.2811, 'grad_norm': 0.0, 'learning_rate': 0.005567774936061381, 'epoch': 0.3069053708439898}
Epoch 0 Metrics: {'loss': 0.2562, 'grad_norm': 0.0, 'learning_rate': 0.00544842284739983, 'epoch': 0.33248081841432225}
Epoch 0 Metrics: {'loss': 0.2378, 'grad_norm': 0.0, 'learning_rate': 0.005329070758738278, 'epoch': 0.35805626598465473}
Epoch 0 Metrics: {'loss': 0.2853, 'grad_norm': 0.0, 'learning_rate': 0.005209718670076727, 'epoch': 0.3836317135549872}
Epoch 0 Metrics: {'loss': 0.2551, 'grad_norm': 0.0, 'learning_rate': 0.005090366581415175, 'epoch': 0.4092071611253197}
Epoch 0 Metrics: {'loss': 0.2601, 'grad_norm': 0.0, 'learning_rate': 0.004971014492753624, 'epoch': 0.43478260869565216}
Epoch 0 Metrics: {'loss': 0.2749, 'grad_norm': 0.0, 'learning_rate': 0.004851662404092072, 'epoch': 0.46035805626598464}
Epoch 0 Metrics: {'loss': 0.2417, 'grad_norm': 0.0, 'learning_rate': 0.00473231031543052, 'epoch': 0.4859335038363171}
Epoch 0 Metrics: {'loss': 0.235, 'grad_norm': 0.0, 'learning_rate': 0.0046129582267689685, 'epoch': 0.5115089514066496}
Epoch 0 Metrics: {'loss': 0.2391, 'grad_norm': 0.0, 'learning_rate': 0.004493606138107417, 'epoch': 0.5370843989769821}
Epoch 0 Metrics: {'loss': 0.254, 'grad_norm': 0.0, 'learning_rate': 0.004374254049445865, 'epoch': 0.5626598465473146}
Epoch 0 Metrics: {'loss': 0.2837, 'grad_norm': 0.0, 'learning_rate': 0.004254901960784313, 'epoch': 0.5882352941176471}
Epoch 0 Metrics: {'loss': 0.2606, 'grad_norm': 0.0, 'learning_rate': 0.004135549872122762, 'epoch': 0.6138107416879796}
Epoch 0 Metrics: {'loss': 0.2354, 'grad_norm': 0.0, 'learning_rate': 0.00401619778346121, 'epoch': 0.639386189258312}
Epoch 0 Metrics: {'loss': 0.249, 'grad_norm': 0.0, 'learning_rate': 0.0038968456947996587, 'epoch': 0.6649616368286445}
Epoch 0 Metrics: {'loss': 0.2254, 'grad_norm': 0.0, 'learning_rate': 0.0037774936061381074, 'epoch': 0.690537084398977}
Epoch 0 Metrics: {'loss': 0.2419, 'grad_norm': 0.0, 'learning_rate': 0.0036581415174765557, 'epoch': 0.7161125319693095}
Epoch 0 Metrics: {'loss': 0.2739, 'grad_norm': 0.0, 'learning_rate': 0.003538789428815004, 'epoch': 0.7416879795396419}
Epoch 0 Metrics: {'loss': 0.2738, 'grad_norm': 0.0, 'learning_rate': 0.0034194373401534527, 'epoch': 0.7672634271099744}
Epoch 0 Metrics: {'loss': 0.2363, 'grad_norm': 0.0, 'learning_rate': 0.0033000852514919014, 'epoch': 0.7928388746803069}
Epoch 0 Metrics: {'loss': 0.2581, 'grad_norm': 0.0, 'learning_rate': 0.0031807331628303493, 'epoch': 0.8184143222506394}
Epoch 0 Metrics: {'loss': 0.2207, 'grad_norm': 0.0, 'learning_rate': 0.003061381074168798, 'epoch': 0.8439897698209718}
Epoch 0 Metrics: {'loss': 0.2594, 'grad_norm': 0.0, 'learning_rate': 0.0029420289855072463, 'epoch': 0.8695652173913043}
Epoch 0 Metrics: {'loss': 0.2346, 'grad_norm': 0.0, 'learning_rate': 0.0028226768968456946, 'epoch': 0.8951406649616368}
Epoch 0 Metrics: {'loss': 0.2551, 'grad_norm': 0.0, 'learning_rate': 0.0027033248081841433, 'epoch': 0.9207161125319693}
