Epoch 0 Metrics: {'loss': 0.761, 'grad_norm': 0.0, 'learning_rate': 0.0004914748508098892, 'epoch': 0.02557544757033248}
Epoch 0 Metrics: {'loss': 0.4752, 'grad_norm': 0.0, 'learning_rate': 0.0004829497016197784, 'epoch': 0.05115089514066496}
Epoch 0 Metrics: {'loss': 0.3075, 'grad_norm': 0.0, 'learning_rate': 0.00047442455242966753, 'epoch': 0.07672634271099744}
Epoch 0 Metrics: {'loss': 0.3559, 'grad_norm': 0.0, 'learning_rate': 0.0004658994032395567, 'epoch': 0.10230179028132992}
Epoch 0 Metrics: {'loss': 0.3193, 'grad_norm': 0.0, 'learning_rate': 0.0004573742540494459, 'epoch': 0.1278772378516624}
Epoch 0 Metrics: {'loss': 0.2904, 'grad_norm': 0.0, 'learning_rate': 0.00044884910485933505, 'epoch': 0.1534526854219949}
Epoch 0 Metrics: {'loss': 0.2906, 'grad_norm': 0.0, 'learning_rate': 0.0004403239556692242, 'epoch': 0.17902813299232737}
Epoch 0 Metrics: {'loss': 0.2906, 'grad_norm': 0.0, 'learning_rate': 0.0004317988064791134, 'epoch': 0.20460358056265984}
Epoch 0 Metrics: {'loss': 0.245, 'grad_norm': 0.0, 'learning_rate': 0.0004232736572890026, 'epoch': 0.23017902813299232}
Epoch 0 Metrics: {'loss': 0.244, 'grad_norm': 0.0, 'learning_rate': 0.00041474850809889173, 'epoch': 0.2557544757033248}
Epoch 0 Metrics: {'loss': 0.2421, 'grad_norm': 0.0, 'learning_rate': 0.00040622335890878094, 'epoch': 0.2813299232736573}
Epoch 0 Metrics: {'loss': 0.2658, 'grad_norm': 0.0, 'learning_rate': 0.0003976982097186701, 'epoch': 0.3069053708439898}
Epoch 0 Metrics: {'loss': 0.2453, 'grad_norm': 0.0, 'learning_rate': 0.00038917306052855925, 'epoch': 0.33248081841432225}
Epoch 0 Metrics: {'loss': 0.2389, 'grad_norm': 0.0, 'learning_rate': 0.00038064791133844846, 'epoch': 0.35805626598465473}
Epoch 0 Metrics: {'loss': 0.2693, 'grad_norm': 0.0, 'learning_rate': 0.0003721227621483376, 'epoch': 0.3836317135549872}
Epoch 0 Metrics: {'loss': 0.2471, 'grad_norm': 0.0, 'learning_rate': 0.0003635976129582268, 'epoch': 0.4092071611253197}
Epoch 0 Metrics: {'loss': 0.265, 'grad_norm': 0.0, 'learning_rate': 0.000355072463768116, 'epoch': 0.43478260869565216}
Epoch 0 Metrics: {'loss': 0.2516, 'grad_norm': 0.0, 'learning_rate': 0.00034654731457800514, 'epoch': 0.46035805626598464}
Epoch 0 Metrics: {'loss': 0.2381, 'grad_norm': 0.0, 'learning_rate': 0.0003380221653878943, 'epoch': 0.4859335038363171}
Epoch 0 Metrics: {'loss': 0.2164, 'grad_norm': 0.0, 'learning_rate': 0.0003294970161977835, 'epoch': 0.5115089514066496}
Epoch 0 Metrics: {'loss': 0.2388, 'grad_norm': 0.0, 'learning_rate': 0.0003209718670076726, 'epoch': 0.5370843989769821}
Epoch 0 Metrics: {'loss': 0.252, 'grad_norm': 0.0, 'learning_rate': 0.00031244671781756176, 'epoch': 0.5626598465473146}
